dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2011-09-01,18.331,0.17300000000000001,Chicago,United States,42.59N,87.27W
2011-10-01,13.837,0.154,Chicago,United States,42.59N,87.27W
2011-11-01,9.555,0.33399999999999996,Chicago,United States,42.59N,87.27W
2011-12-01,5.327000000000001,0.483,Chicago,United States,42.59N,87.27W
2012-01-01,2.6700000000000004,0.727,Chicago,United States,42.59N,87.27W
2012-02-01,3.698,0.5670000000000001,Chicago,United States,42.59N,87.27W
2012-03-01,12.145,0.369,Chicago,United States,42.59N,87.27W
2012-04-01,8.383000000000001,0.34700000000000003,Chicago,United States,42.59N,87.27W
2012-05-01,14.956,0.835,Chicago,United States,42.59N,87.27W
2012-06-01,19.532,0.519,Chicago,United States,42.59N,87.27W
2012-07-01,25.909000000000002,0.516,Chicago,United States,42.59N,87.27W
2012-08-01,22.778,0.42,Chicago,United States,42.59N,87.27W
2012-09-01,18.692999999999998,0.32899999999999996,Chicago,United States,42.59N,87.27W
2012-10-01,12.229000000000001,0.33299999999999996,Chicago,United States,42.59N,87.27W
2012-11-01,7.27,0.263,Chicago,United States,42.59N,87.27W
2012-12-01,5.5920000000000005,0.537,Chicago,United States,42.59N,87.27W
2013-01-01,1.056,0.528,Chicago,United States,42.59N,87.27W
2013-02-01,-0.509,0.473,Chicago,United States,42.59N,87.27W
2013-03-01,1.3230000000000002,0.275,Chicago,United States,42.59N,87.27W
2013-04-01,6.644,0.462,Chicago,United States,42.59N,87.27W
2013-05-01,13.734000000000002,0.863,Chicago,United States,42.59N,87.27W
2013-06-01,17.913,0.669,Chicago,United States,42.59N,87.27W
2013-07-01,21.914,0.322,Chicago,United States,42.59N,87.27W
2013-08-01,22.23,0.373,Chicago,United States,42.59N,87.27W
2013-09-01,19.977,1.033,Chicago,United States,42.59N,87.27W
2011-04-01,8.029,0.303,Roseville,United States,39.38N,120.69W
2011-05-01,10.597000000000001,0.2,Roseville,United States,39.38N,120.69W
2011-06-01,16.024,0.348,Roseville,United States,39.38N,120.69W
2011-07-01,20.767,0.436,Roseville,United States,39.38N,120.69W
2011-08-01,21.284,0.355,Roseville,United States,39.38N,120.69W
2011-09-01,20.43,0.324,Roseville,United States,39.38N,120.69W
2011-10-01,13.08,0.21600000000000003,Roseville,United States,39.38N,120.69W
2011-11-01,6.3900000000000015,0.326,Roseville,United States,39.38N,120.69W
2011-12-01,4.333,0.255,Roseville,United States,39.38N,120.69W
2012-01-01,5.495,0.43200000000000005,Roseville,United States,39.38N,120.69W
2012-02-01,4.998,0.35600000000000004,Roseville,United States,39.38N,120.69W
2012-03-01,5.9849999999999985,0.299,Roseville,United States,39.38N,120.69W
2012-04-01,9.853,0.425,Roseville,United States,39.38N,120.69W
2012-05-01,14.681,0.348,Roseville,United States,39.38N,120.69W
2012-06-01,17.648,0.32,Roseville,United States,39.38N,120.69W
2012-07-01,21.666,0.36200000000000004,Roseville,United States,39.38N,120.69W
2012-08-01,23.345,0.35600000000000004,Roseville,United States,39.38N,120.69W
2012-09-01,20.627,0.33799999999999997,Roseville,United States,39.38N,120.69W
2012-10-01,13.745,0.316,Roseville,United States,39.38N,120.69W
2012-11-01,8.457,0.391,Roseville,United States,39.38N,120.69W
2012-12-01,2.7910000000000004,0.639,Roseville,United States,39.38N,120.69W
2013-01-01,2.565,0.536,Roseville,United States,39.38N,120.69W
2013-02-01,4.662,0.358,Roseville,United States,39.38N,120.69W
2013-03-01,8.947000000000001,0.373,Roseville,United States,39.38N,120.69W
2013-04-01,11.419,0.44299999999999995,Roseville,United States,39.38N,120.69W
2013-05-01,14.543,0.301,Roseville,United States,39.38N,120.69W
2013-06-01,19.445999999999998,0.265,Roseville,United States,39.38N,120.69W
2013-07-01,23.589000000000002,0.23399999999999999,Roseville,United States,39.38N,120.69W
2013-08-01,20.855999999999998,0.305,Roseville,United States,39.38N,120.69W
2013-09-01,19.211,0.8740000000000001,Roseville,United States,39.38N,120.69W
2011-03-01,0.575,0.316,Rostov Na Donu,Russia,47.42N,39.08E
2011-04-01,9.03,0.265,Rostov Na Donu,Russia,47.42N,39.08E
2011-05-01,17.692999999999994,0.29600000000000004,Rostov Na Donu,Russia,47.42N,39.08E
2011-06-01,22.171,0.35,Rostov Na Donu,Russia,47.42N,39.08E
2011-07-01,26.175,0.29,Rostov Na Donu,Russia,47.42N,39.08E
2011-08-01,22.891,0.267,Rostov Na Donu,Russia,47.42N,39.08E
2011-09-01,17.351000000000006,0.138,Rostov Na Donu,Russia,47.42N,39.08E
2011-10-01,9.467,0.249,Rostov Na Donu,Russia,47.42N,39.08E
2011-11-01,-0.09499999999999977,0.47200000000000003,Rostov Na Donu,Russia,47.42N,39.08E
2011-12-01,1.8869999999999998,0.45299999999999996,Rostov Na Donu,Russia,47.42N,39.08E
2012-01-01,-4.2940000000000005,0.336,Rostov Na Donu,Russia,47.42N,39.08E
2012-02-01,-9.427,0.273,Rostov Na Donu,Russia,47.42N,39.08E
2012-03-01,-0.30799999999999994,0.18100000000000002,Rostov Na Donu,Russia,47.42N,39.08E
2012-04-01,14.111999999999998,0.755,Rostov Na Donu,Russia,47.42N,39.08E
2012-05-01,20.334,0.389,Rostov Na Donu,Russia,47.42N,39.08E
2012-06-01,23.448,0.321,Rostov Na Donu,Russia,47.42N,39.08E
2012-07-01,25.439,0.292,Rostov Na Donu,Russia,47.42N,39.08E
2012-08-01,24.639,0.122,Rostov Na Donu,Russia,47.42N,39.08E
2012-09-01,18.658,0.124,Rostov Na Donu,Russia,47.42N,39.08E
2012-10-01,13.222000000000001,0.95,Rostov Na Donu,Russia,47.42N,39.08E
2012-11-01,5.269,0.425,Rostov Na Donu,Russia,47.42N,39.08E
2012-12-01,-3.585,0.772,Rostov Na Donu,Russia,47.42N,39.08E
2013-01-01,-2.19,1.8159999999999998,Rostov Na Donu,Russia,47.42N,39.08E
2013-02-01,0.27699999999999925,0.6659999999999999,Rostov Na Donu,Russia,47.42N,39.08E
2013-03-01,1.7719999999999998,0.599,Rostov Na Donu,Russia,47.42N,39.08E
2013-04-01,11.771999999999998,0.413,Rostov Na Donu,Russia,47.42N,39.08E
2013-05-01,20.661,0.479,Rostov Na Donu,Russia,47.42N,39.08E
2013-06-01,23.088,0.5870000000000001,Rostov Na Donu,Russia,47.42N,39.08E
2013-07-01,23.674,0.442,Rostov Na Donu,Russia,47.42N,39.08E
2013-08-01,23.809,1.156,Rostov Na Donu,Russia,47.42N,39.08E
2013-09-01,,,Rostov Na Donu,Russia,47.42N,39.08E