mid,Address,Description,FeatureCount,Fee,Langtitude,Latitude,LengthOfVisit,MuseumName,PhoneNum,Rank,Rating,ReviewCount,TotalThingsToDo
0,"555 Pennsylvania Ave NW, Washington DC, DC 20001-2114","Find out for yourself why everyone is calling the Newseum the best experience Washington, D.C. has to offer. Each of the seven levels in this magnificent building is packed with interactive exhibits that explore free expression and the five freedoms of the First Amendment: religion, speech, press, assembly and petition. Whether you have just a few hours or want to spend all day, you'll find something for everyone in the family in the Newseum's 15 theaters and 15 galleries.",3,Yes ,-77.0192351,38.8931385,2-3 hours ,Newseum,+1 888-639-7386,8,4.5,"6,309",398
1,"1000 5th Ave, New York City, NY 10028-0198","At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.",12,Yes ,-73.9629278,40.7791655,2-3 hours ,The Metropolitan Museum of Art,1 212-535-7710,2,5.0,"36,627","1,028"
2,"945 Magazine Street, New Orleans, LA 70130-3813","Founded by historian and author, Stephen Ambrose, the Museum tells the story of the American Experience in the war that changed the world - why it was fought, how it was won, and what it means today - so that all generations will understand the price of freedom and be inspired by what they learn. ",11,NA,-90.07008599999999,29.9430044,NA,The National WWII Museum,+1 504-528-1944,1,5.0,"15,611",319
3,"2001 N Colorado Blvd, Denver, CO 80205-5798","The Denver Museum of Nature & Science is the Rocky Mountain regions leading resource for informal science education. A variety of exhibitions, programs, and activities help Museum visitors experience the natural wonders of Colorado, Earth, and the universe.",0,NA,-104.94102,39.76918939999999,NA,Denver Museum of Nature & Science,303-370-6000,4,4.5,"2,564",231
4,"111 S Michigan Ave, Chicago, IL 60603-6488","This Classical Renaissance structure, guarded by two bronze lions at its entrance, boasts one of the world's great art collections, including the trademark ""American Gothic.""",5,Yes ,-87.6237238,41.8795473,More than 3 hours ,Art Institute of Chicago,312 443 3600,1,5.0,"15,532",614
5,"180 Greenwich St, World Trade Center, New York City, NY 10007-0089","The National September 11 Memorial & Museum is a place of remembrance honoring those who perished in the terrorist attacks of September 11, 2001 and February 26, 1993. ",5,No ,-74.0124786,40.7114147,1-2 hours ,The National 9/11 Memorial & Museum,+1 212-312-8800,3,4.5,"48,437","1,028"
6,"465 Huntington Ave, Avenue of the Arts, Boston, MA 02115-5597","Boston's oldest, largest and best-known art institution, the MFA houses one of the world's most comprehensive art collections and is renowned for its Impressionist paintings, Asian and Egyptian collections and early American art.",4,Yes ,-71.0850239,42.3428415,2-3 hours ,Museum of Fine Arts,617-267-9300,2,4.5,"5,480",371
7,"1400 S Lake Shore Dr, Chicago, IL 60605-2827","One of America's premier natural history museums, the Field's ""Live over Time"" exhibit now houses ""Sue,"" the largest and most complete Tyrannosaurus rex ever discovered.",4,Yes ,-87.61698620000001,41.8661733,More than 3 hours ,The Field Museum,312 922 9410,9,4.5,"5,500",614
8,"10th Street and Constitution Ave, Washington DC, DC 20560","Established in 1910 and located on the National Mall, this prestigious museum, part of the Smithsonian Institution, holds the world's most extensive collection of natural history specimens and human artifacts including the remains of dinosaurs and tools used by early man.",7,No ,-77.02596129999999,38.89210370000001,2-3 hours ,Smithsonian National Museum of Natural History,202 633-1000,12,4.5,"7,640",398
9,"6th and Independence Ave., SW, Washington DC, DC 20560",The most popular of the Smithsonian museums features the Wright Brothers' 1903 Flyer and Lindbergh's Spirit of St. Louis.,10,No ,-77.01990479999999,38.8875682,2-3 hours ,Smithsonian National Air and Space Museum,2026331000,3,4.5,"14,492",398
10,"79th Street and Central Park West, New York City, NY 10024","Interactive, modernized exhibits and an IMAX theater help bring this museum, dedicated to understanding the past, into the 21st century.",11,Yes ,-73.9717106,40.7820454,More than 3 hours ,American Museum of Natural History,212-769-5100,32,4.5,"13,992","1,028"